id,year,state_name,state_code,marital_status,gender,number_of_deaths
102,2018,Bihar,10,Widowed/Widower,Female,6
103,2018,Bihar,10,Widowed/Widower,Male,2
104,2018,Bihar,10,Widowed/Widower,Transgender,0
105,2018,Chandigarh,4,Divorcee,Female,0
106,2018,Chandigarh,4,Divorcee,Male,0
107,2018,Chandigarh,4,Divorcee,Transgender,0
108,2018,Chandigarh,4,Married,Female,27
109,2018,Chandigarh,4,Married,Male,69
110,2018,Chandigarh,4,Married,Transgender,0
111,2018,Chandigarh,4,Others,Female,0
112,2018,Chandigarh,4,Others,Male,0
113,2018,Chandigarh,4,Others,Transgender,0
114,2018,Chandigarh,4,Separated,Female,0
115,2018,Chandigarh,4,Separated,Male,0
116,2018,Chandigarh,4,Separated,Transgender,0
117,2018,Chandigarh,4,Status Not Known,Female,1
118,2018,Chandigarh,4,Status Not Known,Male,2
119,2018,Chandigarh,4,Status Not Known,Transgender,0
120,2018,Chandigarh,4,Un-Married,Female,12
121,2018,Chandigarh,4,Un-Married,Male,49
122,2018,Chandigarh,4,Un-Married,Transgender,0
123,2018,Chandigarh,4,Widowed/Widower,Female,0
124,2018,Chandigarh,4,Widowed/Widower,Male,0
125,2018,Chandigarh,4,Widowed/Widower,Transgender,0
126,2018,Chhattisgarh,22,Divorcee,Female,4
127,2018,Chhattisgarh,22,Divorcee,Male,8
128,2018,Chhattisgarh,22,Divorcee,Transgender,0
129,2018,Chhattisgarh,22,Married,Female,1242
130,2018,Chhattisgarh,22,Married,Male,3252
131,2018,Chhattisgarh,22,Married,Transgender,0
132,2018,Chhattisgarh,22,Others,Female,51
133,2018,Chhattisgarh,22,Others,Male,212
134,2018,Chhattisgarh,22,Others,Transgender,0
135,2018,Chhattisgarh,22,Separated,Female,1
136,2018,Chhattisgarh,22,Separated,Male,2
137,2018,Chhattisgarh,22,Separated,Transgender,0
138,2018,Chhattisgarh,22,Status Not Known,Female,16
139,2018,Chhattisgarh,22,Status Not Known,Male,39
140,2018,Chhattisgarh,22,Status Not Known,Transgender,0
141,2018,Chhattisgarh,22,Un-Married,Female,691
142,2018,Chhattisgarh,22,Un-Married,Male,1313
143,2018,Chhattisgarh,22,Un-Married,Transgender,0
144,2018,Chhattisgarh,22,Widowed/Widower,Female,62
145,2018,Chhattisgarh,22,Widowed/Widower,Male,153
146,2018,Chhattisgarh,22,Widowed/Widower,Transgender,0
147,2018,Delhi,7,Divorcee,Female,5
148,2018,Delhi,7,Divorcee,Male,13
149,2018,Delhi,7,Divorcee,Transgender,0
150,2018,Delhi,7,Married,Female,390
151,2018,Delhi,7,Married,Male,1101
152,2018,Delhi,7,Married,Transgender,0
153,2018,Delhi,7,Others,Female,38
154,2018,Delhi,7,Others,Male,54
155,2018,Delhi,7,Others,Transgender,0
156,2018,Delhi,7,Separated,Female,1
157,2018,Delhi,7,Separated,Male,12
158,2018,Delhi,7,Separated,Transgender,0
159,2018,Delhi,7,Status Not Known,Female,43
160,2018,Delhi,7,Status Not Known,Male,100
161,2018,Delhi,7,Status Not Known,Transgender,0
162,2018,Delhi,7,Un-Married,Female,264
163,2018,Delhi,7,Un-Married,Male,495
164,2018,Delhi,7,Un-Married,Transgender,0
165,2018,Delhi,7,Widowed/Widower,Female,6
166,2018,Delhi,7,Widowed/Widower,Male,4
167,2018,Delhi,7,Widowed/Widower,Transgender,0
168,2018,Goa,30,Divorcee,Female,0
169,2018,Goa,30,Divorcee,Male,0
170,2018,Goa,30,Divorcee,Transgender,0
171,2018,Goa,30,Married,Female,40
172,2018,Goa,30,Married,Male,108
173,2018,Goa,30,Married,Transgender,0
174,2018,Goa,30,Others,Female,0
175,2018,Goa,30,Others,Male,0
